Title,Country,Year,Policy Status,Policy Type,Policy Target
Strategy for the Development of Samoa 2008-2012 ,Samoa,2008,Ended ,"Policy Support>Strategic planning, Policy Support ",Multiple RE Sources>All
Strategy for the Development of Samoa 2012-2016 ,Samoa,2012,In Force ,"Policy Support>Strategic planning, Policy Support ","Multiple RE Sources>All, Multiple RE Sources"
Electricity Distribution Code,Saudi Arabia,2008,In Force ,,Multiple RE Sources
Energy Research and Innovation Programme,Saudi Arabia,,In Force ,"Research, Development and Deployment (RD&D)>Research programme , Economic Instruments>Direct investment, Policy Support>Strategic planning ",Multiple RE Sources
Royal Decree of 17/04/2010 on the King Abdullah City for Atomic and Renewable Energies (KARARE),Saudi Arabia,2010,In Force ,"Research, Development and Deployment (RD&D)>Research programme >Technology deployment and diffusion, Information and Education>Information provision, Economic Instruments>Fiscal/financial incentives>Tax relief, Policy Support>Institutional creation ","Solar, Multiple RE Sources>Heating, Multiple RE Sources>Power"
"Program for the promotion of renewable energies, rural electrification and sustainable supply in domestic fuel (PERACOD)",Senegal,2004-2015,In Force ,Economic Instruments>Fiscal/financial incentives>Grants and subsidies ,"Solar, Multiple RE Sources, Multiple RE Sources>All"
Renewable Energy Law,Senegal,2010 (December),In Force ,"Regulatory Instruments, Regulatory Instruments>Codes and standards>Sectoral standards, Policy Support ","Multiple RE Sources, Multiple RE Sources>Power, Multiple RE Sources>All"
"Decree on Amount of Special Fee for Incentives in 2013 (RS Official Gazette, No. 8/13) ",Serbia,2013 (February 4th),In Force ,Regulatory Instruments ,Multiple RE Sources>Power
"Decree on Criteria and Procedure for Qualification for Privileged Electricity Producer Status (RS Official Gazette, No. 8/13) ",Serbia,2013 (February 4th),In Force ,"Regulatory Instruments, Regulatory Instruments>Other mandatory requirements ",Multiple RE Sources>Power
"Decree on Incentive Measures for Privileged Energy Producers (RS Official Gazette, No. 8/13) ",Serbia,2013 (February 4th),In Force ,Economic Instruments>Fiscal/financial incentives>Feed-in tariffs/premiums ,Multiple RE Sources>Power
"Decree on Method of Calculation and Allocation of Funding Raised from Incentive Fees for Privileged Electricity Producers (RS Official Gazette, No. 8/13) ",Serbia,2013 (February 4th),In Force ,Regulatory Instruments ,Multiple RE Sources>Power
Decree on the Requirements for obtaining the Status of the Privileged Power Producer and the Criteria for Assessing Fulfilment of these Requirements,Serbia,2009,Superseded ,Regulatory Instruments ,"Multiple RE Sources, Multiple RE Sources>All, Multiple RE Sources>CHP, Multiple RE Sources>Power"
Energy law,Serbia,2011 (last amended 2012),In Force ,Policy Support>Strategic planning ,"Multiple RE Sources, Multiple RE Sources>All, Multiple RE Sources>Cooling, Multiple RE Sources>Heating, Multiple RE Sources>Power"
Feed-in tariffs for renewable energy sources and combined heat and power generation,Serbia,2009,Superseded ,Economic Instruments>Fiscal/financial incentives>Feed-in tariffs/premiums ,"Multiple RE Sources, Multiple RE Sources>Power"
National Renewable Energy Action Plan (NREAP),Serbia,2013 (June 28th),In Force ,Policy Support>Strategic planning ,Multiple RE Sources
Energy Act ,Seychelles,2012,Planned ,Regulatory Instruments ,"Solar, Wind, Hydropower, Multiple RE Sources"
Energy Policy for the Republic of Seychelles 2010-2030 ,Seychelles,2011,In Force ,"Policy Support, Policy Support>Strategic planning ",Multiple RE Sources>All
Energy Security Steering Committee established ,Seychelles,2008,Ended ,"Policy Support>Strategic planning, Policy Support>Institutional creation ",Multiple RE Sources
Seychelles Energy Commission established ,Seychelles,2009,In Force ,Policy Support>Institutional creation ,Multiple RE Sources
Seychelles Energy Policy ,Seychelles,1999,Superseded ,Policy Support>Institutional creation ,Multiple RE Sources
Tax exemptions for renewable energy equipment ,Seychelles,2010,In Force ,Economic Instruments>Fiscal/financial incentives>Taxes ,Multiple RE Sources
Clean Energy Research Programme (CERP),Singapore,2007,In Force ,"Research, Development and Deployment (RD&D)>Research programme >Technology deployment and diffusion, Research, Development and Deployment (RD&D)>Research programme , Research, Development and Deployment (RD&D)>Research programme >Technology development ","Solar>Solar photovoltaic, Multiple RE Sources"
Energy Innovation programme office (EIPO) Singapore,Singapore,2007,In Force ,"Policy Support, Policy Support>Strategic planning ",Multiple RE Sources
Energy Innovation Research Programme (EIRP),Singapore,2012,In Force ,"Economic Instruments>Fiscal/financial incentives>Grants and subsidies, Research, Development and Deployment (RD&D) ",Multiple RE Sources
Energy National innovation Challenge (NIC) Singapore,Singapore,2011,In Force ,"Policy Support, Research, Development and Deployment (RD&D) ",Multiple RE Sources
Experimental Power Grid Center,Singapore,2011,In Force ,"Research, Development and Deployment (RD&D) ",Multiple RE Sources
Innovation for Environmental Sustainability (IES) Fund,Singapore,2001,In Force ,"Research, Development and Deployment (RD&D) ",Multiple RE Sources
Joint Research with Tertiary Institutions,Singapore,1991,In Force ,"Research, Development and Deployment (RD&D) ",Multiple RE Sources
2014 Energy Policy (2035 and 2050 Horizon),Slovakia,2014,In Force ,Policy Support>Strategic planning ,Multiple RE Sources
Act 136/2011 on the promotion of renewable energy and highly efficient cogeneration,Slovakia,2011,In Force ,"Policy Support>Institutional creation, Economic Instruments>Fiscal/financial incentives>Grants and subsidies, Economic Instruments>Fiscal/financial incentives>Feed-in tariffs/premiums, Policy Support ",Multiple RE Sources
Act No. 137/2010: Coll on Air Protection ,Slovakia,2010,In Force ,"Economic Instruments, Regulatory Instruments ",Multiple RE Sources
Act No. 250/2012 Coll. on Regulation in Network Industries,Slovakia,2001 (Last amended 2007),In Force ,"Regulatory Instruments, Economic Instruments>Fiscal/financial incentives>Feed-in tariffs/premiums ","Multiple RE Sources>Power, Multiple RE Sources"
Act No. 309/2009 on Support of Renewable Energy Sources and High Efficiency CHP,Slovakia,2014 (December 1),In Force ,"Regulatory Instruments>Codes and standards, Economic Instruments>Fiscal/financial incentives>Grants and subsidies, Economic Instruments>Fiscal/financial incentives>Feed-in tariffs/premiums, Policy Support, Regulatory Instruments>Obligation schemes  ","Multiple RE Sources>Power, Bioenergy, Bioenergy>Biomass for power, Multiple RE Sources>CHP"
Act No. 587 / 2004 Coll. On Environmental Fund as amended,Slovakia,2005,In Force ,"Economic Instruments>Fiscal/financial incentives>Loans, Economic Instruments>Fiscal/financial incentives>Grants and subsidies ","Multiple RE Sources>Power, Multiple RE Sources, Multiple RE Sources>Heating"
Act on Energy and amendments (Act no. 656/2005),Slovakia,2005,Superseded ,"Regulatory Instruments>Other mandatory requirements, Regulatory Instruments ","Multiple RE Sources>All, Bioenergy>Co-firing with fossil fuels, Multiple RE Sources"
Act on Energy and amendments to certain acts (No. 251/2012) ,Slovakia,2013 (amended 2014),In Force ,"Policy Support, Regulatory Instruments ","Multiple RE Sources, Multiple RE Sources>All"
Act on Regulatory Office for Network Industries (Act No. 250/2012),Slovakia,2012,In Force ,"Regulatory Instruments, Policy Support, Policy Support>Institutional creation, Economic Instruments>Fiscal/financial incentives>Feed-in tariffs/premiums, Economic Instruments>Fiscal/financial incentives ",Multiple RE Sources
Concept of development of electricity generation from small renewable energy sources in Slovakia (I. Stage) ,Slovakia,2013 (July),In Force ,Economic Instruments>Fiscal/financial incentives>Grants and subsidies ,"Multiple RE Sources, Multiple RE Sources>All"
Decree No. 221/2013 establishing a price regulation in electricity and Decree No. 189/2014 (which amends and supplements decree 221/2013),Slovakia,2013 (last amended 2014),In Force ,"Economic Instruments>Fiscal/financial incentives>Feed-in tariffs/premiums, Economic Instruments>Fiscal/financial incentives>Taxes ","Multiple RE Sources>Power, Bioenergy, Geothermal, Hydropower, Solar, Wind"
Decree No. 373/2011 implementing certain provisions of the Act. 309/2009 Coll. on Support of renewable energy and high-efficiency co-generation,Slovakia,2011 (Nov 15th),Superseded ,Policy Support ,Multiple RE Sources
Decree on the Regulation of Network Industries,Slovakia,2007,In Force ,Policy Support ,"Multiple RE Sources>Power, Multiple RE Sources, Multiple RE Sources>All"
Energy Policy 2014,Slovakia,2014,In Force ,"Policy Support>Strategic planning, Policy Support, Policy Support>Institutional creation, Regulatory Instruments ","Multiple RE Sources>Power, Bioenergy, Bioenergy>Biofuels for transport, Bioenergy>Biomass for heat, Bioenergy>Biomass for power, Multiple RE Sources, Multiple RE Sources>All, Multiple RE Sources>CHP, Multiple RE Sources>Heating"
Feed-in tariffs for renewable energy,Slovakia,2005 (updated yearly),Ended ,"Economic Instruments>Fiscal/financial incentives>Taxes, Economic Instruments>Fiscal/financial incentives>Feed-in tariffs/premiums ","Multiple RE Sources>Power, Multiple RE Sources"
National Renewable Energy Action Plan (NREAP),Slovakia,2010,In Force ,"Regulatory Instruments, Policy Support>Institutional creation, Policy Support>Strategic planning ","Multiple RE Sources>Power, Multiple RE Sources, Multiple RE Sources>CHP, Multiple RE Sources>Heating"
Ordinance: rights and obligations of the electricity market participants,Slovakia,2007,In Force ,Regulatory Instruments ,Multiple RE Sources>Power
Regulation no. 225/2011 of the Regulatory Office for Network Industries,Slovakia,2011,Ended ,"Policy Support>Institutional creation, Economic Instruments>Fiscal/financial incentives>Grants and subsidies, Economic Instruments>Fiscal/financial incentives>Feed-in tariffs/premiums, Policy Support ","Multiple RE Sources>Power, Multiple RE Sources>Heating"
Regulation no. 438/2011 establishing a new Feed-in Tariff,Slovakia,2011,In Force ,"Policy Support, Economic Instruments>Fiscal/financial incentives>Grants and subsidies, Economic Instruments>Fiscal/financial incentives>Feed-in tariffs/premiums ",Multiple RE Sources
Strategy for greater use of renewable energy sources,Slovakia,2007,In Force ,Policy Support>Strategic planning ,"Multiple RE Sources>Power, Multiple RE Sources, Multiple RE Sources>Heating"
The Slovak Energy Efficiency and Renewable Energy Finance Facility (SLOVSEFF III),Slovakia,2014,In Force ,"Economic Instruments>Fiscal/financial incentives>Grants and subsidies, Economic Instruments>Fiscal/financial incentives>Loans ",Multiple RE Sources
Eco-Fund,Slovenia,2000,In Force ,"Research, Development and Deployment (RD&D)>Research programme >Technology deployment and diffusion, Economic Instruments>Fiscal/financial incentives>Loans, Research, Development and Deployment (RD&D)>Research programme ",Multiple RE Sources
Feed-in Tariffs and Premiums,Slovenia,2002,In Force ,"Regulatory Instruments>Other mandatory requirements, Economic Instruments>Fiscal/financial incentives>Feed-in tariffs/premiums ",Multiple RE Sources>Power
National Renewable Action Plan (NREAP),Slovenia,2010,In Force ,Policy Support>Strategic planning ,"Multiple RE Sources, Multiple RE Sources>All, Multiple RE Sources>Cooling, Multiple RE Sources>Heating, Multiple RE Sources>CHP, Multiple RE Sources>Power"
Slovenia Net-Metering System (Uredbo o samooskrbi z elektricno energijo iz obnovljivih virov energije),Slovenia,2016 (Jan 15th),In Force ,"Regulatory Instruments, Economic Instruments>Fiscal/financial incentives>User charges ",Multiple RE Sources>Power
National Energy Policy,Solomon Islands,2007,In Force ,Policy Support>Strategic planning ,Multiple RE Sources
Energy Development Corporation (EDC) Projects,South Africa,2004,In Force ,"Research, Development and Deployment (RD&D)>Research programme >Technology deployment and diffusion, Economic Instruments>Fiscal/financial incentives>Grants and subsidies ",Multiple RE Sources
Free Basic Alternative Energy Policy (Household Energy Support),South Africa,2007 (April 2nd),Unknown ,"Regulatory Instruments, Policy Support, Economic Instruments>Direct investment>Infrastructure investments ",Multiple RE Sources
India-Brazil-South Africa Declaration on Clean Energy,South Africa,2007,In Force ,"Voluntary Approaches>Public Voluntary Schemes, Voluntary Approaches ",Multiple RE Sources
Integrated Energy Plan for the Republic of South Africa,South Africa,2003,In Force ,"Policy Support>Strategic planning, Policy Support ",Multiple RE Sources
Integrated Resource Electricity Plan 2010 – 2030,South Africa,2011,In Force ,"Policy Support>Strategic planning, Regulatory Instruments ","Multiple RE Sources, Multiple RE Sources>All"
Integrated Resource Plan for Electricity (IRP),South Africa,2009,In Force ,"Policy Support>Strategic planning, Policy Support ","Multiple RE Sources, Multiple RE Sources>All, Solar Thermal>Solar heat"
National Energy Act (No 34 of 2008),South Africa,2008 (November 24th\n,In Force ,"Policy Support>Strategic planning, Policy Support ",Multiple RE Sources
Renewable Energy Independent Power Producer Programme (REIPPP),South Africa,2011,In Force ,"Policy Support, Economic Instruments>Fiscal/financial incentives>Feed-in tariffs/premiums, Economic Instruments ","Multiple RE Sources, Wind>Onshore, Solar>Solar photovoltaic, Solar Thermal, Bioenergy>Biomass for heat, Bioenergy>Biomass for power, Bioenergy>Co-firing with fossil fuels, Bioenergy, Bioenergy>Biofuels for transport, Hydropower"
Renewable energy subsidies - DME,South Africa,2005,Ended ,"Policy Support, Economic Instruments>Fiscal/financial incentives>Tax relief, Economic Instruments>Fiscal/financial incentives>Grants and subsidies, Economic Instruments>Fiscal/financial incentives>Loans ",Multiple RE Sources
"Vision, Strategic Direction and Framework for Climate Policy",South Africa,2008,In Force ,"Regulatory Instruments, Information and Education, Economic Instruments>Fiscal/financial incentives>Taxes, Economic Instruments>Fiscal/financial incentives>Feed-in tariffs/premiums, Economic Instruments>Fiscal/financial incentives>Grants and subsidies, Policy Support, Policy Support>Strategic planning, Regulatory Instruments>Obligation schemes , Regulatory Instruments>Monitoring ",Multiple RE Sources>Power
White Paper on Renewable Energy,South Africa,2003,In Force ,Policy Support>Strategic planning ,Multiple RE Sources
Cabinet of Ministers Ruling for Wind and Solar Thermal Electric Energy quotas,Spain,2009,In Force ,"Regulatory Instruments>Obligation schemes , Regulatory Instruments>Monitoring ","Wind, Multiple RE Sources>Power, Solar Thermal"
Correction of the tariff deficit in the electricity sector (Royal Decree-Law 14/2010),Spain,2010,Ended ,"Regulatory Instruments, Economic Instruments>Fiscal/financial incentives, Economic Instruments>Fiscal/financial incentives>Grants and subsidies, Economic Instruments>Fiscal/financial incentives>Feed-in tariffs/premiums ","Solar>Solar photovoltaic, Multiple RE Sources"
General Electricity Law 54/1997,Spain,1997,Superseded ,"Regulatory Instruments, Policy Support ","Multiple RE Sources, Multiple RE Sources>Power"
Indicative Energy Plan 2011-2020,Spain,2011,In Force ,"Policy Support>Institutional creation, Policy Support ","Multiple RE Sources>All, Multiple RE Sources"
Ministerial Order ITC/2914/2011,Spain,2011 (October 27th),In Force ,"Information and Education>Information provision, Regulatory Instruments>Obligation schemes  ","Multiple RE Sources, Multiple RE Sources>CHP, Hydropower"
"National Plan for Scientific Research, Development and Technological Innovation 2008-2011",Spain,2008,Ended ,"Research, Development and Deployment (RD&D)>Research programme >Technology deployment and diffusion, Policy Support, Research, Development and Deployment (RD&D), Research, Development and Deployment (RD&D)>Research programme , Research, Development and Deployment (RD&D)>Demonstration project, Research, Development and Deployment (RD&D)>Research programme >Technology development ",Multiple RE Sources
National Renewable Energy Action Plan 2011-2020,Spain,2010,In Force ,"Policy Support>Strategic planning, Policy Support ",Multiple RE Sources
New regulatory framework for administrative procedures for renewable energy facilities,Spain,2009,In Force ,Regulatory Instruments ,"Wind, Bioenergy>Biomass for power, Geothermal>Power, Multiple RE Sources>Power, Ocean, Solar, Solar Thermal"
New tariff regulation for the production of photovoltaic electrical energy (Royal Decree 1565/2010),Spain,2010 (adjusted 2011),Ended ,"Regulatory Instruments, Economic Instruments>Fiscal/financial incentives, Economic Instruments>Fiscal/financial incentives>Feed-in tariffs/premiums ","Wind, Multiple RE Sources, Solar>Solar photovoltaic"
Regulation of small power plants connexion to the electricity grid (Royal Decree 1699/2011),Spain,2011,In Force ,Regulatory Instruments ,Multiple RE Sources
Regulation on load management activity within the electricity system involving energy charging services (Royal Decree 647/2011),Spain,2011,In Force ,"Regulatory Instruments, Regulatory Instruments>Monitoring ","Multiple RE Sources>Power, Multiple RE Sources"
Renewable Energy Plan 2005 - 2010,Spain,2005,Ended ,"Economic Instruments>Fiscal/financial incentives, Policy Support ","Multiple RE Sources>Power, Multiple RE Sources, Multiple RE Sources>All, Multiple RE Sources>CHP, Multiple RE Sources>Heating"
Renewable Energy Plan 2011 - 2020,Spain,2011,In Force ,"Policy Support>Strategic planning, Policy Support ",Multiple RE Sources
"Royal Decree 413/2014 on electricity generation by means of renewable, cogeneration and waste facilities",Spain,2014 (May 10th),In Force ,"Policy Support>Strategic planning, Regulatory Instruments ",Multiple RE Sources>Power
Royal Decree 900/2015 on self-consumption,Spain,2015 (Oct 10th),In Force ,"Regulatory Instruments, Economic Instruments>Fiscal/financial incentives>User charges ",Multiple RE Sources>Power
"Royal Decree Law 1/2012 on revocation of public financial support for new electricity plants from renewable energy sources, waste or CHP",Spain,2012 (Jan 27th),In Force ,Policy Support ,Multiple RE Sources>Power
Royal Decree Law 13/2012,Spain,2012 (March 30th),In Force ,Information and Education>Information provision ,Multiple RE Sources
Royal Decree Law 15/2012 on tax policy aimed at energy sustainability ,Spain,2013 (January 1st),In Force ,Economic Instruments>Fiscal/financial incentives>Taxes ,"Multiple RE Sources, Multiple RE Sources>All"
Royal Decree Law 20/2012 on measures to ensure fiscal stability and to promote competitiveness,Spain,2012 (July 14th),In Force ,"Economic Instruments, Regulatory Instruments ","Multiple RE Sources, Multiple RE Sources>Power"
Royal Decree Law 24/2013 on the Electricity Sector,Spain,2014 (Jan 1st),In Force ,"Economic Instruments>Fiscal/financial incentives>User charges, Economic Instruments>Fiscal/financial incentives ","Multiple RE Sources, Multiple RE Sources>Power, Solar>Solar photovoltaic"
Royal Decree Law 9/2013 on urgent measures to guarantee financial stability in the electricity system,Spain,2013 (July 14th),In Force ,"Regulatory Instruments, Economic Instruments>Fiscal/financial incentives>Feed-in tariffs/premiums ","Multiple RE Sources, Multiple RE Sources>Power"
Spanish Strategy on Climate Change and Clean Energy 2007-2012-2020,Spain,2007,In Force ,"Policy Support>Strategic planning, Policy Support, Policy Support>Institutional creation ","Multiple RE Sources>Power, Multiple RE Sources, Multiple RE Sources>All, Multiple RE Sources>CHP, Multiple RE Sources>Heating"
Sustainable Economy Law,Spain,2011,In Force ,"Regulatory Instruments, Economic Instruments>Fiscal/financial incentives>Tax relief, Policy Support ",Multiple RE Sources>All
"An integrated climate and energy policy framework: ""A sustainable energy and climate policy for the environment, competitiveness and long-term stability""",Sweden,2009,Ended ,Policy Support>Strategic planning ,Multiple RE Sources
Climate Investment Programmes (Klimp),Sweden,2003,Ended ,"Economic Instruments>Fiscal/financial incentives>Grants and subsidies, Economic Instruments>Direct investment>Funds to sub-national governments ",Multiple RE Sources
Commercial Loans to Startup Energy Companies ,Sweden,2006,In Force ,"Economic Instruments>Fiscal/financial incentives>Loans, Economic Instruments>Fiscal/financial incentives ",Multiple RE Sources
Economic Support to Regional Energy Offices ,Sweden,2002,In Force ,"Economic Instruments, Policy Support, Policy Support>Institutional creation ",Multiple RE Sources
"Energy, Carbon Dioxide and Sulphur Taxation",Sweden,1991,In Force ,Economic Instruments>Fiscal/financial incentives>Taxes ,Multiple RE Sources
Environmental Requirements in the Procurement of Vehicles ,Sweden,2011,In Force ,Regulatory Instruments ,Multiple RE Sources
Exhaust Emission Controls Act ,Sweden,2011,Ended ,Regulatory Instruments ,"Multiple RE Sources, Bioenergy"
Guaranteed Power Purchase Contracts,Sweden,1997,Superseded ,"Regulatory Instruments, Regulatory Instruments>Other mandatory requirements ",Multiple RE Sources>Power
Implementation of the Sustainability Criteria of the Renewables Directive ,Sweden,2010,In Force ,"Regulatory Instruments, Policy Support ","Multiple RE Sources, Bioenergy, Bioenergy>Biofuels for transport"
Local Investment Programmes (LIP),Sweden,1998 (revised in 2003),Ended ,"Economic Instruments>Fiscal/financial incentives>Grants and subsidies, Economic Instruments>Direct investment>Funds to sub-national governments ","Multiple RE Sources>Power, Multiple RE Sources, Multiple RE Sources>All, Multiple RE Sources>CHP, Multiple RE Sources>Heating"
National Renewable Energy Action Plan (NREAP),Sweden,2010,In Force ,Policy Support>Strategic planning ,"Multiple RE Sources, Multiple RE Sources>All, Multiple RE Sources>Power"
Renewable Energy Investment Support Programme,Sweden,1997,Ended ,Economic Instruments>Fiscal/financial incentives>Grants and subsidies ,"Wind, Bioenergy, Bioenergy>Biomass for heat, Bioenergy>Biomass for power, Hydropower, Multiple RE Sources"
Support for Small Scale Electricity Production,Sweden,2000,Superseded ,Economic Instruments>Fiscal/financial incentives ,Multiple RE Sources>Power
Sustainable Municipalities Programme,Sweden,2001,Ended ,"Policy Support>Strategic planning, Information and Education>Advice/Aid in Implementation, Economic Instruments>Fiscal/financial incentives>Grants and subsidies ",Multiple RE Sources
Tax Reduction for Environmental and Energy Investments in Public Buildings,Sweden,2005,Ended ,Economic Instruments>Fiscal/financial incentives>Tax relief ,"Solar, Multiple RE Sources"
Tax Reduction for Fossil Fuels used for Heat Production in CHP Plants,Sweden,2004,In Force ,Economic Instruments>Fiscal/financial incentives>Tax relief ,Multiple RE Sources>CHP
Technology Procurement Programme - Renewables ,Sweden,1998,Ended ,"Economic Instruments>Direct investment>Procurement rules, Research, Development and Deployment (RD&D)>Research programme >Technology development ",Multiple RE Sources>Power
The Environmental Code,Sweden,1999,In Force ,"Regulatory Instruments>Codes and standards, Regulatory Instruments>Other mandatory requirements, Regulatory Instruments ",Multiple RE Sources
The Fuels Act ,Sweden,2011,Ended ,Regulatory Instruments ,"Bioenergy, Multiple RE Sources"
The Super-Green Car Premium ,Sweden,2011,In Force ,Economic Instruments>Fiscal/financial incentives>Grants and subsidies ,Multiple RE Sources
Voluntary Certification of Installers of Certain Heating Systems ,Sweden,2012 (Dec 31st),In Force ,"Policy Support, Regulatory Instruments, Voluntary Approaches ",Multiple RE Sources>Heating
Action Plan for a Coordinated Swiss Energy Research ,Switzerland,2013 (Jan 1st),In Force ,"Research, Development and Deployment (RD&D)>Research programme >Technology development ",Multiple RE Sources
"Building Renovation Program (Das Gebäudeprogramm, Le Programme Bâtiments)",Switzerland,2010,Superseded ,"Economic Instruments>Fiscal/financial incentives>Grants and subsidies, Economic Instruments>Fiscal/financial incentives, Economic Instruments>Direct investment>Funds to sub-national governments ","Multiple RE Sources>CHP, Multiple RE Sources"
Electricity Supply Act,Switzerland,2007,In Force ,"Regulatory Instruments, Economic Instruments ",Multiple RE Sources>All
Energy Act,Switzerland,1999,In Force ,"Voluntary Approaches>Negotiated Agreements (Public-private sector), Information and Education>Information provision, Economic Instruments>Fiscal/financial incentives>Grants and subsidies, Economic Instruments>Fiscal/financial incentives>Feed-in tariffs/premiums, Policy Support>Strategic planning, Regulatory Instruments, Regulatory Instruments>Codes and standards ","Multiple RE Sources>Power, Multiple RE Sources"
Energy Research Program (Swiss Federal Office of Energy) ,Switzerland,1977,In Force ,"Research, Development and Deployment (RD&D)>Research programme ","Multiple RE Sources, Multiple RE Sources>All"
Feed-in Tariffs for RES and Investment Aid for Small PV,Switzerland,2009 (last amended 2014),In Force ,"Economic Instruments>Fiscal/financial incentives>Feed-in tariffs/premiums, Policy Support, Economic Instruments>Direct investment ","Wind>Onshore, Bioenergy>Biomass for power, Geothermal, Hydropower, Multiple RE Sources>Power, Solar>Solar photovoltaic"
Pilot and Demonstration Program (Swiss Federal Office of Energy) ,Switzerland,1977,In Force ,"Research, Development and Deployment (RD&D)>Demonstration project ","Multiple RE Sources, Multiple RE Sources>All"
Technology Fund for Innovative Technologies,Switzerland,2013,In Force ,"Research, Development and Deployment (RD&D), Economic Instruments ",Multiple RE Sources
The SwissEnergy Programme ,Switzerland,2001,In Force ,"Policy Support>Strategic planning, Policy Support, Policy Support>Institutional creation, Information and Education, Voluntary Approaches ","Multiple RE Sources>Power, Multiple RE Sources, Multiple RE Sources>All"
Law 03 on Energy Conservation,Syria,2009,In Force ,"Regulatory Instruments>Auditing, Information and Education>Information provision, Economic Instruments>Fiscal/financial incentives>Tax relief, Policy Support, Policy Support>Institutional creation, Research, Development and Deployment (RD&D)>Research programme >Technology deployment and diffusion ",Multiple RE Sources>All
Energy Conservation Programme (ENCON),Thailand,1992 (various programmes),In Force ,"Research, Development and Deployment (RD&D)>Research programme >Technology deployment and diffusion, Economic Instruments>Fiscal/financial incentives>Grants and subsidies, Research, Development and Deployment (RD&D)>Research programme >Technology development, Economic Instruments>Direct investment>RD&D funding, Economic Instruments>Fiscal/financial incentives>Feed-in tariffs/premiums ",Multiple RE Sources>Power
Small and Very Small Power Purchase Agreements,Thailand,1994 (expanded 2002),In Force ,"Regulatory Instruments, Regulatory Instruments>Other mandatory requirements ","Wind>Onshore, Bioenergy>Biomass for power, Hydropower, Multiple RE Sources>CHP, Multiple RE Sources>Power, Solar"
Thailand Alternative Energy Development Plan (AEDP 2015-2036),Thailand,2015 (June),In Force ,Policy Support>Strategic planning ,Multiple RE Sources
Decree 2009/362 on Renewable Energy and Energy Efficiency Premiums,Tunisia,2009,In Force ,Economic Instruments>Fiscal/financial incentives>Grants and subsidies ,"Solar Thermal, Multiple RE Sources, Multiple RE Sources>Heating, Multiple RE Sources>Power, Solar"
Decree on rules of selling renewable electricity to the Tunisian Company of Electricity and Gas (STEG),Tunisia,2009,In Force ,"Policy Support, Regulatory Instruments, Economic Instruments, Regulatory Instruments>Codes and standards ","Multiple RE Sources>All, Bioenergy, Solar>Solar photovoltaic, Wind"
Law 2005-82 on Energy Efficiency Fund (FNME),Tunisia,2006,In Force ,"Economic Instruments>Direct investment, Economic Instruments>Fiscal/financial incentives>Grants and subsidies, Policy Support>Institutional creation ","Multiple RE Sources>Power, Multiple RE Sources, Multiple RE Sources>All, Multiple RE Sources>CHP, Multiple RE Sources>Heating"
Law 2009-7 on Energy Efficiency: Renewable Energy Provisions,Tunisia,2009,In Force ,"Regulatory Instruments>Codes and standards, Economic Instruments>Fiscal/financial incentives>Grants and subsidies, Policy Support, Policy Support>Institutional creation, Regulatory Instruments>Monitoring, Regulatory Instruments>Auditing, Regulatory Instruments ","Multiple RE Sources>All, Multiple RE Sources"
Law and Decree on Energy Conservation and Renewable Energy,Tunisia,2005,In Force ,Policy Support>Strategic planning ,Multiple RE Sources
Renewable Energy Law for Electricity Production (No.74/2013) ,Tunisia,2015 (April),In Force ,"Policy Support, Policy Support>Strategic planning ","Multiple RE Sources, Multiple RE Sources>Power"
Tax exemptions for the import of renewable energy and energy efficiency equipment materials (Decree 2010/1521),Tunisia,2010,In Force ,"Policy Support>Strategic planning, Regulatory Instruments>Codes and standards, Economic Instruments>Fiscal/financial incentives>Feed-in tariffs/premiums, Economic Instruments>Fiscal/financial incentives>Tax relief ","Multiple RE Sources>CHP, Multiple RE Sources>Cooling, Multiple RE Sources>Heating, Multiple RE Sources>Renewable heat pumps , Wind"
Tax exemptions for the import of renewable energy and energy efficiency equipment materials (Decree 95/744),Tunisia,1995,Superseded ,"Policy Support>Strategic planning, Regulatory Instruments>Codes and standards, Economic Instruments>Fiscal/financial incentives>Tax relief ","Multiple RE Sources>CHP, Multiple RE Sources>Cooling, Multiple RE Sources>Heating, Multiple RE Sources>Renewable heat pumps , Wind"
The Decree on connection and access of renewable electricity to the national grid,Tunisia,2011,In Force ,"Policy Support, Regulatory Instruments>Codes and standards ","Multiple RE Sources, Bioenergy, Wind, Solar"
Electricity Market Licensing Regulation,Turkey,2001,In Force ,"Regulatory Instruments>Obligation schemes , Economic Instruments>Fiscal/financial incentives>Grants and subsidies ",Multiple RE Sources>All
Law on Utilization of Renewable Energy Resources for the Purpose of Generating Electrical Energy - No. 5346,Turkey,2005 (last amended 2013),In Force ,"Regulatory Instruments, Economic Instruments>Fiscal/financial incentives>Feed-in tariffs/premiums, Regulatory Instruments>Monitoring, Regulatory Instruments>Obligation schemes  ",Multiple RE Sources>All
National Climate Change Action Plan 2011-2023,Turkey,2011 (July),In Force ,"Policy Support, Policy Support>Strategic planning ",Multiple RE Sources
National Climate Change Strategy 2010-2020,Turkey,2010 (May 3rd),In Force ,Policy Support>Strategic planning ,Multiple RE Sources
